Epoch[1] Iteration[193/1608], loss: 3.5033, nitc_loss: 2.1921, ritc_loss: 1.3111, Base Lr: 6.91e-06
Epoch[1] Iteration[194/1608], loss: 3.3778, nitc_loss: 2.0954, ritc_loss: 1.2824, Base Lr: 6.94e-06
Epoch[1] Iteration[195/1608], loss: 2.7232, nitc_loss: 1.6586, ritc_loss: 1.0646, Base Lr: 6.97e-06
Epoch[1] Iteration[196/1608], loss: 3.3303, nitc_loss: 2.0959, ritc_loss: 1.2343, Base Lr: 7.00e-06
Epoch[1] Iteration[197/1608], loss: 3.3399, nitc_loss: 2.0092, ritc_loss: 1.3307, Base Lr: 7.04e-06
Epoch[1] Iteration[198/1608], loss: 3.2545, nitc_loss: 1.9633, ritc_loss: 1.2912, Base Lr: 7.07e-06
Epoch[1] Iteration[199/1608], loss: 3.3496, nitc_loss: 2.1138, ritc_loss: 1.2359, Base Lr: 7.10e-06
Epoch[1] Iteration[200/1608], loss: 2.8519, nitc_loss: 1.7955, ritc_loss: 1.0564, Base Lr: 7.13e-06
Epoch[1] Iteration[201/1608], loss: 3.3651, nitc_loss: 2.0984, ritc_loss: 1.2667, Base Lr: 7.16e-06
Epoch[1] Iteration[202/1608], loss: 3.1276, nitc_loss: 1.8742, ritc_loss: 1.2534, Base Lr: 7.19e-06
Epoch[1] Iteration[203/1608], loss: 3.1320, nitc_loss: 1.8497, ritc_loss: 1.2823, Base Lr: 7.22e-06
Epoch[1] Iteration[204/1608], loss: 3.0935, nitc_loss: 1.8325, ritc_loss: 1.2610, Base Lr: 7.25e-06
Epoch[1] Iteration[205/1608], loss: 3.5434, nitc_loss: 2.1922, ritc_loss: 1.3512, Base Lr: 7.28e-06
Epoch[1] Iteration[206/1608], loss: 3.5984, nitc_loss: 2.1884, ritc_loss: 1.4100, Base Lr: 7.31e-06
Epoch[1] Iteration[207/1608], loss: 3.3115, nitc_loss: 2.0475, ritc_loss: 1.2640, Base Lr: 7.34e-06
Epoch[1] Iteration[208/1608], loss: 2.8441, nitc_loss: 1.6523, ritc_loss: 1.1918, Base Lr: 7.37e-06
Epoch[1] Iteration[209/1608], loss: 3.2554, nitc_loss: 1.9223, ritc_loss: 1.3331, Base Lr: 7.40e-06
Epoch[1] Iteration[210/1608], loss: 3.2288, nitc_loss: 1.9893, ritc_loss: 1.2395, Base Lr: 7.44e-06
Epoch[1] Iteration[211/1608], loss: 3.1835, nitc_loss: 1.9673, ritc_loss: 1.2162, Base Lr: 7.47e-06
Epoch[1] Iteration[212/1608], loss: 3.4963, nitc_loss: 2.1384, ritc_loss: 1.3580, Base Lr: 7.50e-06
